shape,advection,resolution,iterations,optimized,path,measured_trials,divergence_rms,divergence_max,density_weighted_divergence_rms,residual_relative,residual_rms,divergence_before_rms,mass_error_relative,density_min,density_max,wall_velocity_max,pressure_divergence_identity_rms,cpu_gpu_divergence_disagreement_rms,median_projection_ms,median_advection_ms,median_total_ms,cost_q25_ms,cost_q75_ms,l1_to_converged_same_method,l2_to_converged_same_method,l1_to_exact_velocity_same_method,velocity_relative_to_exact,reference_4096_8192_l1,reference_exact_velocity_l1
smooth,sl,32,-1,True,smooth-r32-sl-i-1-rep1,18,4.624705805853064e-08,4.76837158203125e-07,2.7109008491033644e-09,1.0,2.780524336835309e-06,4.634207228058848e-08,-0.0012536964390382184,1.2410929451014507e-27,0.9699345827102661,0.0,1.1807693386858325e-09,1.1807693386858325e-09,0.003232,0.002208,0.005488,0.00544,0.005624,0.0,0.0,0.0,0.0,0.0,0.0
smooth,sl,32,0,True,smooth-r32-sl-i0-rep1,18,1.4608587090201646,4.072528004646301,2.241727623529235,1.0,87.65152258743967,1.4608587097906611,0.031976599239154496,1.635196567400394e-27,0.972781777381897,0.0,3.736468130468113e-08,3.736468130468113e-08,0.005264,0.00216,0.007424,0.0073279999999999994,0.007647999999999999,0.034516281645970065,0.026910257747295798,0.034516281645970065,0.583333256863287,0.0,0.0
smooth,sl,32,8,True,smooth-r32-sl-i8-rep1,18,1.3113347652075975,3.9194872975349426,2.02207721443501,0.8976465448819264,78.68008640425535,1.4608587097906611,0.028690228188232223,1.5038286933007463e-27,0.9724234938621521,0.0,3.04998149058016e-07,3.811607721282236e-08,0.021536,0.00224,0.023871999999999997,0.023696,0.024056,0.031105354474420685,0.02425872354291568,0.031105354474420685,0.5222718914184548,0.0,0.0
smooth,sl,32,32,True,smooth-r32-sl-i32-rep1,18,0.9443350003472176,2.6958251762608825,1.4840818295330442,0.6464246138009334,56.66010163764948,1.4608587097906611,0.020616024141910202,1.3724608192010985e-27,0.9719470739364624,0.0,2.9910974992988603e-07,2.7222717199218395e-08,0.070912,0.002144,0.073072,0.072936,0.07317599999999999,0.022715126377127557,0.01777372370694855,0.022715126377127557,0.37547583099685317,0.0,0.0
smooth,sl,32,128,True,smooth-r32-sl-i128-rep1,18,0.2534607539587668,0.7800051180740866,0.4282213357895252,0.1735012533262491,15.207649024874815,1.4608587097906611,0.0049159024392089285,1.2410929451014507e-27,0.9704033732414246,0.0,3.2094875824712257e-07,4.055086701350569e-09,0.267328,0.002144,0.26950399999999997,0.26888,0.26971999999999996,0.006420461703992339,0.0051107412473634815,0.006420461703992339,0.10072762631335233,0.0,0.0
smooth,sl,32,512,True,smooth-r32-sl-i512-rep1,18,0.0014952825884897466,0.006455289500991057,0.0037230104680356845,0.0010236103725271858,0.08972100768830417,1.4608587097906611,-0.0012285212254919337,1.2410929451014507e-27,0.9699345827102661,0.0,3.2935525253175475e-07,3.3825952103535753e-09,1.053856,0.00232,1.056128,1.0559759999999998,1.0562639999999999,2.5207908891098686e-05,0.00018807737273205557,2.5207908891098686e-05,0.0006244220412111306,0.0,0.0
smooth,sl,32,2048,True,smooth-r32-sl-i2048-rep1,18,5.144207057605345e-06,3.8504600524902344e-05,5.992753349330303e-06,3.487838183929009e-06,0.0003057143273599881,1.4608587097906611,-0.0012536964390382184,1.2410929451014507e-27,0.9699345827102661,0.0,3.3254748075040016e-07,3.253646818883928e-09,4.197392,0.002304,4.1997279999999995,4.199432000000001,4.200063999999999,0.0,0.0,0.0,1.54322178652503e-06,0.0,0.0
smooth,sl,32,4096,True,smooth-r32-sl-i4096-rep1,18,5.144207057605345e-06,3.8504600524902344e-05,5.992753349330303e-06,3.487838183929009e-06,0.0003057143273599881,1.4608587097906611,-0.0012536964390382184,1.2410929451014507e-27,0.9699345827102661,0.0,3.3254748075040016e-07,3.253646818883928e-09,8.389551999999998,0.00232,8.391839999999998,8.391664,8.392119999999998,0.0,0.0,0.0,1.54322178652503e-06,0.0,0.0
smooth,sl,32,8192,True,smooth-r32-sl-i8192-rep1,18,5.144207057605345e-06,3.8504600524902344e-05,5.992753349330303e-06,3.487838183929009e-06,0.0003057143273599881,1.4608587097906611,-0.0012536964390382184,1.2410929451014507e-27,0.9699345827102661,0.0,3.3254748075040016e-07,3.253646818883928e-09,16.77384,0.002336,16.776256,16.77592,16.776584,0.0,0.0,0.0,1.54322178652503e-06,0.0,0.0
smooth,sl,32,-1,True,smooth-r32-sl-i-1-rep2,18,4.624705805853064e-08,4.76837158203125e-07,2.7109008491033644e-09,1.0,2.780524336835309e-06,4.634207228058848e-08,-0.0012536964390382184,1.2410929451014507e-27,0.9699345827102661,0.0,1.1807693386858325e-09,1.1807693386858325e-09,0.003232,0.002224,0.0054719999999999994,0.00544,0.005535999999999999,0.0,0.0,0.0,0.0,0.0,0.0
smooth,sl,32,0,True,smooth-r32-sl-i0-rep2,18,1.4608587090201646,4.072528004646301,2.241727623529235,1.0,87.65152258743967,1.4608587097906611,0.031976599239154496,1.635196567400394e-27,0.972781777381897,0.0,3.736468130468113e-08,3.736468130468113e-08,0.005408,0.002208,0.007647999999999999,0.007392,0.007744,0.034516281645970065,0.026910257747295798,0.034516281645970065,0.583333256863287,0.0,0.0
smooth,sl,32,8,True,smooth-r32-sl-i8-rep2,18,1.3113347652075975,3.9194872975349426,2.02207721443501,0.8976465448819264,78.68008640425535,1.4608587097906611,0.028690228188232223,1.5038286933007463e-27,0.9724234938621521,0.0,3.04998149058016e-07,3.811607721282236e-08,0.021488,0.0022559999999999998,0.023823999999999998,0.023663999999999998,0.023959999999999995,0.031105354474420685,0.02425872354291568,0.031105354474420685,0.5222718914184548,0.0,0.0
smooth,sl,32,32,True,smooth-r32-sl-i32-rep2,18,0.9443350003472176,2.6958251762608825,1.4840818295330442,0.6464246138009334,56.66010163764948,1.4608587097906611,0.020616024141910202,1.3724608192010985e-27,0.9719470739364624,0.0,2.9910974992988603e-07,2.7222717199218395e-08,0.07083199999999999,0.002144,0.07305600000000001,0.072904,0.073224,0.022715126377127557,0.01777372370694855,0.022715126377127557,0.37547583099685317,0.0,0.0
smooth,sl,32,128,True,smooth-r32-sl-i128-rep2,18,0.2534607539587668,0.7800051180740866,0.4282213357895252,0.1735012533262491,15.207649024874815,1.4608587097906611,0.0049159024392089285,1.2410929451014507e-27,0.9704033732414246,0.0,3.2094875824712257e-07,4.055086701350569e-09,0.267232,0.002176,0.269408,0.26892,0.26965599999999995,0.006420461703992339,0.0051107412473634815,0.006420461703992339,0.10072762631335233,0.0,0.0
smooth,sl,32,512,True,smooth-r32-sl-i512-rep2,18,0.0014952825884897466,0.006455289500991057,0.0037230104680356845,0.0010236103725271858,0.08972100768830417,1.4608587097906611,-0.0012285212254919337,1.2410929451014507e-27,0.9699345827102661,0.0,3.2935525253175475e-07,3.3825952103535753e-09,1.053792,0.00216,1.055936,1.0553919999999999,1.0562319999999998,2.5207908891098686e-05,0.00018807737273205557,2.5207908891098686e-05,0.0006244220412111306,0.0,0.0
smooth,sl,32,2048,True,smooth-r32-sl-i2048-rep2,18,5.144207057605345e-06,3.8504600524902344e-05,5.992753349330303e-06,3.487838183929009e-06,0.0003057143273599881,1.4608587097906611,-0.0012536964390382184,1.2410929451014507e-27,0.9699345827102661,0.0,3.3254748075040016e-07,3.253646818883928e-09,4.197552,0.00232,4.1998560000000005,4.199504000000001,4.200176,0.0,0.0,0.0,1.54322178652503e-06,0.0,0.0
