step,emitter,before_source,after_source,before_advection,forward,reverse,corrected,limited,final,expected_injection,measured_injection,forward_delta,correction_delta,lower_changed_cells,lower_delta,upper_changed_cells,upper_delta,damping_and_positivity_delta,damping_residual,limiter_residual,pattern_errors,injection_errors,untouched_errors,nonfinite,readback_match,audit_failed
24,1,10.138461980910506,10.638462457747664,10.638462457747664,10.518258425930981,,10.518258425930981,10.518258425930981,10.50074273138307,0.5,0.5000004768371582,-0.12020403181668371,,0,0,0,0,-0.017515694547910243,1.3675582266614583e-07,0,0,0,0,0,1,0
25,1,10.50074273138307,11.000743208220229,11.000743208220229,10.871912621310912,,10.871912621310912,10.871912621310912,10.853807341656648,0.5,0.5000004768371582,-0.12883058690931648,,0,0,0,0,-0.01810527965426445,-5.155657198940844e-07,0,0,0,0,0,1,0
26,1,10.853807341656648,11.353807818493806,11.353807818493806,11.214799960725941,,11.214799960725941,11.214799960725941,11.196123919449747,0.5,0.5000004768371582,-0.13900785776786506,,0,0,0,0,-0.018676041276194155,-2.7421832093921239e-07,0,0,0,0,0,1,0
27,1,11.196123919449747,11.696123919449747,11.696123919449747,11.587712438777089,,11.587712438777089,11.587712438777089,11.568415690911934,0.5,0.5,-0.10841148067265749,,0,0,0,0,-0.019296747865155339,2.2384705644640235e-08,0,0,0,0,0,1,0
28,1,11.568415690911934,12.068415690911934,12.068415690911934,11.958208380732685,,11.958208380732685,11.958208380732685,11.938294402556494,0.5,0.5,-0.11020731017924845,,0,0,0,0,-0.019913978176191449,-2.2894034401588215e-07,0,0,0,0,0,1,0
29,1,11.938294402556494,12.438294402556494,12.438294402556494,12.313598128501326,,12.313598128501326,12.313598128501326,12.293092268519104,0.5,0.5,-0.12469627405516803,,0,0,0,0,-0.020505859982222319,-2.8778320526612333e-07,0,0,0,0,0,1,0
30,1,12.293092268519104,12.793092268519104,12.793092268519104,12.697528689634055,,12.697528689634055,12.697528689634055,12.676383908372372,0.5,0.5,-0.095563578885048628,,0,0,0,0,-0.02114478126168251,1.4230795031267007e-07,0,0,0,0,0,1,0
31,1,12.676383908372372,13.176383908372372,13.176383908372372,13.084240035143011,,13.084240035143011,13.084240035143011,13.062450914865622,0.5,0.5,-0.092143873229360906,,0,0,0,0,-0.021789120277389884,-2.1455625365263131e-07,0,0,0,0,0,1,0
32,1,13.062450914865622,13.562450914865622,13.562450914865622,13.453289163022419,,13.453289163022419,13.453289163022419,13.430885566907818,0.5,0.5,-0.10916175184320309,,0,0,0,0,-0.022403596114600077,-1.2075607713768477e-07,0,0,0,0,0,1,0
33,1,13.430885566907818,13.930885566907818,13.930885566907818,13.85026665037833,,13.85026665037833,13.85026665037833,13.827202043309626,0.5,0.5,-0.08061891652948816,,0,0,0,0,-0.02306460706870439,-5.3571739044855349e-08,0,0,0,0,0,1,0
34,1,13.827202043309626,14.327202043309626,14.327202043309626,14.244950695578847,,14.244950695578847,14.244950695578847,14.221228802773254,0.5,0.5,-0.08225134773077869,,0,0,0,0,-0.023721892805593114,-8.0390469392455088e-08,0,0,0,0,0,1,0
35,1,14.221228802773254,14.721228802773254,14.721228802773254,14.663408751771858,,14.663408751771858,14.663408751771858,14.638990192012329,0.5,0.5,-0.057820051001396422,,0,0,0,0,-0.024418559759528335,1.0192695221178383e-07,0,0,0,0,0,1,0
36,1,14.638990192012329,15.138990192012329,15.138990192012329,15.102290225885838,,15.102290225885838,15.102290225885838,15.077140501234961,0.5,0.5,-0.03669996612649129,,0,0,0,0,-0.025149724650876948,-2.0301100711606068e-07,0,0,0,0,0,1,0
37,1,15.077140501234961,15.577140501234961,15.577140501234961,15.460410641949139,,15.460410641949139,15.460410641949139,15.434664628135103,0.5,0.5,-0.11672985928582236,,0,0,0,0,-0.025746013814035962,-1.218873624253547e-07,0,0,0,0,0,1,0
38,1,15.434664628135103,15.934664628135103,15.934664628135103,15.827326574223022,,15.827326574223022,15.827326574223022,15.800969234872809,0.5,0.5,-0.10733805391208051,,0,0,0,0,-0.026357339350212783,-4.3015127459966607e-07,0,0,0,0,0,1,0
39,1,15.800969234872809,16.300969234872809,16.300969234872809,16.213750657551671,,16.213750657551671,16.213750657551671,16.186749868959552,0.5,0.5,-0.087218577321138469,,0,0,0,0,-0.027000788592118852,-3.756132613830232e-07,0,0,0,0,0,1,0
40,1,16.186749868959552,16.686749868959552,16.686749868959552,16.615609233113247,,16.615609233113247,16.615609233113247,16.587939461356513,0.5,0.5,-0.071140635846305145,,0,0,0,0,-0.027669771756734463,-1.522673933607166e-07,0,0,0,0,0,1,0
41,1,16.587939461356513,17.087939461356513,17.087939461356513,17.038517024195698,,17.038517024195698,17.038517024195698,17.010143034211978,0.5,0.5,-0.04942243716081407,,0,0,0,0,-0.028373989983720094,-1.1117448295294707e-07,0,0,0,0,0,1,0
42,1,17.010143034211978,17.510143034211978,17.510143034211978,17.47208838022118,,17.47208838022118,17.47208838022118,17.442992184395621,0.5,0.5,-0.038054653990798215,,0,0,0,0,-0.029096195825559334,-2.9988926897317469e-07,0,0,0,0,0,1,0
43,1,17.442992184395621,17.942992184395621,17.942992184395621,17.942297862125088,,17.942297862125088,17.942297862125088,17.912418667221345,0.5,0.5,-0.0006943222705331209,,0,0,0,0,-0.029879194903742246,-2.6915121154047483e-07,0,0,0,0,0,1,0
44,1,17.912418667221345,18.412418667221345,18.412418667221345,18.347560577180616,,18.347560577180616,18.347560577180616,18.31700622185781,0.5,0.5,-0.064858090040729621,,0,0,0,0,-0.030554355322806259,-5.5421894273877115e-07,0,0,0,0,0,1,0
45,1,18.31700622185781,18.81700622185781,18.81700622185781,18.763119290044642,,18.763119290044642,18.763119290044642,18.731872946248814,0.5,0.5,-0.053886931813167394,,0,0,0,0,-0.031246343795828579,-5.2163518660108821e-07,0,0,0,0,0,1,0
46,1,18.731872946248814,19.231872946248814,19.231872946248814,19.185134233626059,,19.185134233626059,19.185134233626059,19.153185686763436,0.5,0.5,-0.046738712622754974,,0,0,0,0,-0.031948546862622607,4.7778023315458995e-08,0,0,0,0,0,1,0
47,1,19.153185686763436,19.653185686763436,19.653185686763436,19.63553083287934,,19.63553083287934,19.63553083287934,19.602831805334063,0.5,0.5,-0.017654853884096156,,0,0,0,0,-0.032699027545277204,-3.970590540802732e-07,0,0,0,0,0,1,0
48,1,19.602831805334063,20.102831805334063,20.102831805334063,20.07888927215663,,20.07888927215663,20.07888927215663,20.045451938464794,0.5,0.5,-0.023942533177432779,,0,0,0,0,-0.033437333691836102,-3.8785769262972281e-07,0,0,0,0,0,1,0
49,1,20.045451938464794,20.545451938464794,20.545451938464794,20.536576395893007,,20.536576395893007,20.536576395893007,20.502377042968419,0.5,0.5,-0.0088755425717863545,,0,0,0,0,-0.034199352924588311,-2.3049002706443389e-07,0,0,0,0,0,1,0
50,1,20.502377042968419,21.002377042968419,21.002377042968419,21.032953820181547,,21.032953820181547,21.032953820181547,20.997927906521909,0.5,0.5,0.030576777213127571,,0,0,0,0,-0.035025913659637808,-1.8449279792775997e-07,0,0,0,0,0,1,0
51,1,20.997927906521909,21.497927906521909,21.497927906521909,21.481992530936623,,21.481992530936623,21.481992530936623,21.446218769766347,0.5,0.5,-0.015935375585286238,,0,0,0,0,-0.035773761170275975,-2.5742061282585382e-07,0,0,0,0,0,1,0
52,1,21.446218769766347,21.946218769766347,21.946218769766347,21.953341127658234,,21.953341127658234,21.953341127658234,21.916782160170982,0.5,0.5,0.0071223578918875319,,0,0,0,0,-0.036558967487252403,-5.3697775115324475e-07,0,0,0,0,0,1,0
53,1,21.916782160170982,22.416782160170982,22.416782160170982,22.456345502300181,,22.456345502300181,22.456345502300181,22.418949221445871,0.5,0.5,0.039563342129198986,,0,0,0,0,-0.037396280854309794,-2.0789350330119305e-07,0,0,0,0,0,1,0
54,1,22.418949221445871,22.918949221445871,22.918949221445871,22.988012787479189,,22.988012787479189,22.988012787479189,22.9497309458106,0.5,0.5,0.069063566033317869,,0,0,0,0,-0.038281841668588612,-3.9452320876876001e-07,0,0,0,0,0,1,0
55,1,22.9497309458106,23.4497309458106,23.4497309458106,23.538921609292487,,23.538921609292487,23.538921609292487,23.499722016231622,0.5,0.5,0.089190663481886645,,0,0,0,0,-0.039199593060864402,-7.2921057991948146e-07,0,0,0,0,0,1,0
56,1,23.499722016231622,23.999722016231622,23.999722016231622,24.110181728534307,,24.110181728534307,24.110181728534307,24.070031236541237,0.5,0.5,0.11045971230268492,,0,0,0,0,-0.040150491993070858,-3.2085654311231337e-07,0,0,0,0,0,1,0
57,1,24.070031236541237,24.570031236541237,24.570031236541237,24.617221757536825,,24.617221757536825,24.617221757536825,24.57622685930583,0.5,0.5,0.047190520995588514,,0,0,0,0,-0.040994898230994892,-3.6415407222989415e-07,0,0,0,0,0,1,0
58,1,24.57622685930583,25.07622685930583,25.07622685930583,25.141635087776926,,25.141635087776926,25.141635087776926,25.099766734572796,0.5,0.5,0.065408228471095953,,0,0,0,0,-0.04186835320412996,-5.2479900247703881e-07,0,0,0,0,0,1,0
59,1,25.099766734572796,25.599766734572796,25.599766734572796,25.672313527553804,,25.672313527553804,25.672313527553804,25.629561084138448,0.5,0.5,0.072546792981007968,,0,0,0,0,-0.042752443415356112,-8.8752882732023863e-07,0,0,0,0,0,1,0
60,1,25.629561084138448,26.129561084138448,26.129561084138448,26.207303747055818,,26.207303747055818,26.207303747055818,26.163660430434113,0.5,0.5,0.077742662917369643,,0,0,0,0,-0.043643316621704287,-8.5293896745497477e-07,0,0,0,0,0,1,0
61,1,26.163660430434113,26.663660430434113,26.663660430434113,26.771744254359795,,26.771744254359795,26.771744254359795,26.727161270576104,0.5,0.5,0.10808382392568205,,0,0,0,0,-0.044582983783691077,-5.693689679731051e-07,0,0,0,0,0,1,0
62,1,26.727161270576104,27.227161270576104,27.227161270576104,27.334422385514557,,27.334422385514557,27.334422385514557,27.288902135333331,0.5,0.5,0.10726111493845281,,0,0,0,0,-0.045520250181226629,-8.1988186195758317e-07,0,0,0,0,0,1,0
63,1,27.288902135333331,27.788902135333331,27.788902135333331,27.868967333142969,,27.868967333142969,27.868967333142969,27.822557203045641,0.5,0.5,0.080065197809638278,,0,0,0,0,-0.046410130097328306,-5.3350354534131839e-07,0,0,0,0,0,1,0
64,1,27.822557203045641,28.322557203045641,28.322557203045641,28.419351805045721,,28.419351805045721,28.419351805045721,28.372024889009026,0.5,0.5,0.096794602000080943,,0,0,0,0,-0.047326916036695366,-7.7592669711634699e-07,0,0,0,0,0,1,0
65,1,28.372024889009026,28.872024889009026,28.872024889009026,28.998580693586376,,28.998580693586376,28.998580693586376,28.950289533847595,0.5,0.5,0.12655580457735027,,0,0,0,0,-0.048291159738781175,-4.4212108107899439e-07,0,0,0,0,0,1,0
66,1,28.950289533847595,29.450289533847595,29.450289533847595,29.600733581589509,,29.600733581589509,29.600733581589509,29.55143972693071,0.5,0.5,0.15044404774191378,,0,0,0,0,-0.049293854658799319,-3.8468627394649957e-07,0,0,0,0,0,1,0
67,1,29.55143972693071,30.05143972693071,30.05143972693071,30.246376855213725,,30.246376855213725,30.246376855213725,30.196007950207218,0.5,0.5,0.19493712828301568,,0,0,0,0,-0.050368905006507703,-2.5906801326414097e-07,0,0,0,0,0,1,0
68,1,30.196007950207218,30.696007950207218,30.696007950207218,30.912791006091339,,30.912791006091339,30.912791006091339,30.861312302870516,0.5,0.5,0.21678305588412172,,0,0,0,0,-0.051478703220823263,-2.9201774154330451e-07,0,0,0,0,0,1,0
69,1,30.861312302870516,31.361312302870516,31.361312302870516,31.529765032946756,,31.529765032946756,31.529765032946756,31.477258756507084,0.5,0.5,0.16845273007623973,,0,0,0,0,-0.052506276439672206,-4.3155550955020772e-07,0,0,0,0,0,1,0
70,1,31.477258756507084,31.977258756507084,31.977258756507084,32.18183303706931,,32.18183303706931,32.18183303706931,32.128240422362012,0.5,0.5,0.20457428056222682,,0,0,0,0,-0.05359261470729848,-8.9489058296976509e-07,0,0,0,0,0,1,0
71,1,32.128240422362012,32.628240422362012,32.628240422362012,32.852735514753164,,32.852735514753164,32.852735514753164,32.798025725149358,0.5,0.5,0.22449509239115173,,0,0,0,0,-0.054709789603805348,-8.3020764662933288e-07,0,0,0,0,0,1,0
72,1,32.798025725149358,33.298025725149358,33.298025725149358,33.553917537439929,,33.553917537439929,33.553917537439929,33.498040614337015,0.5,0.5,0.2558918122905709,,0,0,0,0,-0.055876923102914589,-3.0024713737475395e-07,0,0,0,0,0,1,0
73,1,33.498040614337015,33.998040614337015,33.998040614337015,34.271252272006279,,34.271252272006279,34.271252272006279,34.214180887024384,0.5,0.5,0.2732116576692647,,0,0,0,0,-0.05707138498189579,-1.9990012845028104e-07,0,0,0,0,0,1,0
74,1,34.214180887024384,34.714180887024384,34.714180887024384,34.957417327805544,,34.957417327805544,34.957417327805544,34.899202984470442,0.5,0.5,0.24323644078116047,,0,0,0,0,-0.058214343335102114,-5.0222823944068296e-07,0,0,0,0,0,1,0
75,1,34.899202984470442,35.399202984470442,35.399202984470442,35.661354342017454,,35.661354342017454,35.661354342017454,35.601967498445759,0.5,0.5,0.2621513575470118,,0,0,0,0,-0.059386843571694214,-7.5117663556056868e-07,0,0,0,0,0,1,0
76,1,35.601967498445759,36.101967498445759,36.101967498445759,36.400801786968906,,36.400801786968906,36.400801786968906,36.340183745713816,0.5,0.5,0.29883428852314609,,0,0,0,0,-0.06061804125508985,-5.6280929072727304e-07,0,0,0,0,0,1,0
77,1,36.340183745713816,36.840183745713816,36.840183745713816,37.16944561665823,,37.16944561665823,37.16944561665823,37.107547739586948,0.5,0.5,0.32926187094441417,,0,0,0,0,-0.061897877071281471,-3.9245831828793598e-07,0,0,0,0,0,1,0
78,1,37.107547739586948,37.607547739586948,37.607547739586948,37.892135588993192,,37.892135588993192,37.892135588993192,37.829034353781935,0.5,0.5,0.28458784940624327,,0,0,0,0,-0.063101235211256324,-2.7040904626574047e-07,0,0,0,0,0,1,0
79,1,37.829034353781935,38.329034353781935,38.329034353781935,38.583527582774721,,38.583527582774721,38.583527582774721,38.51927442001336,0.5,0.5,0.2544932289927857,,0,0,0,0,-0.064253162761360727,-8.3762578384494191e-07,0,0,0,0,0,1,0
80,1,38.51927442001336,39.01927442001336,39.01927442001336,39.301824926770493,,39.301824926770493,39.301824926770493,39.236375999407002,0.5,0.5,0.28255050675713278,,0,0,0,0,-0.065448927363490839,-4.3698901208699681e-07,0,0,0,0,0,1,0
81,1,39.236375999407002,39.736375999407002,39.736375999407002,40.033811209923172,,40.033811209923172,40.033811209923172,39.967142812652625,0.5,0.5,0.29743521051616995,,0,0,0,0,-0.066668397270547075,-9.4575877085389948e-07,0,0,0,0,0,1,0
82,1,39.967142812652625,40.467142812652625,40.467142812652625,40.827874074693554,,40.827874074693554,40.827874074693554,40.759883316600316,0.5,0.5,0.36073126204092887,,0,0,0,0,-0.067990758093237957,-9.7063757920068383e-07,0,0,0,0,0,1,0
83,1,40.759883316600316,41.259883316600316,41.259883316600316,41.587898407720822,,41.587898407720822,41.587898407720822,41.518641728653108,0.5,0.5,0.32801509112050553,,0,0,0,0,-0.069256679067713378,-1.2393087089890287e-06,0,0,0,0,0,1,0
84,1,41.518641728653108,42.018641728653108,42.018641728653108,42.359461544837004,,42.359461544837004,42.359461544837004,42.288920521711631,0.5,0.5,0.34081981618389534,,0,0,0,0,-0.070541023125372249,-7.15738799783594e-07,0,0,0,0,0,1,0
85,1,42.288920521711631,42.788920521711631,42.788920521711631,43.164634862636547,,43.164634862636547,43.164634862636547,43.092752527122101,0.5,0.5,0.37571434092491529,,0,0,0,0,-0.071882335514445117,-1.190183624544261e-06,0,0,0,0,0,1,0
86,1,43.092752527122101,43.592752527122101,43.592752527122101,44.007263971741573,,44.007263971741573,44.007263971741573,43.93397841387241,0.5,0.5,0.41451144461947109,,0,0,0,0,-0.073285557869162687,-1.2002641227581989e-06,0,0,0,0,0,1,0
87,1,43.93397841387241,44.43397841387241,44.43397841387241,44.775420437071844,,44.775420437071844,44.775420437071844,44.700855788708701,0.5,0.5,0.34144202319943417,,0,0,0,0,-0.074564648363143249,-1.0961883418758589e-06,0,0,0,0,0,1,0
88,1,44.700855788708701,45.200855788708701,45.200855788708701,45.576682777258597,,45.576682777258597,45.576682777258597,45.500784193174113,0.5,0.5,0.37582698854989616,,0,0,0,0,-0.075898584084484355,-7.0683303476926085e-07,0,0,0,0,0,1,0
89,1,45.500784193174113,46.000784193174113,46.000784193174113,46.404035449137872,,46.404035449137872,46.404035449137872,46.326759045698701,0.5,0.5,0.40325125596375955,,0,0,0,0,-0.077276403439171304,-7.5343842098618552e-07,0,0,0,0,0,1,0
90,1,46.326759045698701,46.826759045698701,46.826759045698701,47.266190766426455,,47.266190766426455,47.266190766426455,47.187479030436116,0.5,0.5,0.43943172072775383,,0,0,0,0,-0.078711735990339093,-3.5713757284838721e-07,0,0,0,0,0,1,0
91,1,47.187479030436116,47.687479030436116,47.687479030436116,48.160247222274677,,48.160247222274677,48.160247222274677,48.080046222195676,0.5,0.5,0.47276819183856134,,0,0,0,0,-0.080201000079000551,-7.6808889559742966e-07,0,0,0,0,0,1,0
92,1,48.080046222195676,48.580046222195676,48.580046222195676,49.020700715145665,,49.020700715145665,49.020700715145665,48.939066613221243,0.5,0.5,0.44065449294998871,,0,0,0,0,-0.081634101924421998,-9.7509423824249097e-07,0,0,0,0,0,1,0
93,1,48.939066613221243,49.439066613221243,49.439066613221243,49.839853887653391,,49.839853887653391,49.839853887653391,49.756856326820923,0.5,0.5,0.40078727443214746,,0,0,0,0,-0.082997560832467343,-3.1570422009963295e-07,0,0,0,0,0,1,0
94,1,49.756856326820923,50.256856326820923,50.256856326820923,50.702035422774955,,50.702035422774955,50.702035422774955,50.617602335619438,0.5,0.5,0.44517909595403182,,0,0,0,0,-0.084433087155517228,-6.9515280642917787e-08,0,0,0,0,0,1,0
95,1,50.617602335619438,51.117602335619438,51.117602335619438,51.59629567596587,,51.59629567596587,51.59629567596587,51.510372403365047,0.5,0.5,0.47869334034643174,,0,0,0,0,-0.085923272600822997,-1.0624439426010213e-06,0,0,0,0,0,1,0
96,1,51.510372403365047,52.010372403365047,52.010372403365047,52.445958266840442,,52.445958266840442,52.445958266840442,52.358620590594064,0.5,0.5,0.43558586347539574,,0,0,0,0,-0.087337676246377782,-5.4110811475993614e-07,0,0,0,0,0,1,0
97,1,52.358620590594064,52.858620590594064,52.858620590594064,53.31708394978817,,53.31708394978817,53.31708394978817,53.228294858596364,0.5,0.5,0.45846335919410564,,0,0,0,0,-0.088789091191806335,-1.2890429630374456e-06,0,0,0,0,0,1,0
98,1,53.228294858596364,53.728294858596364,53.728294858596364,54.238446570546543,,54.238446570546543,54.238446570546543,54.14812358090731,0.5,0.5,0.51015171195017928,,0,0,0,0,-0.090322989639233242,-8.6197936610687975e-07,0,0,0,0,0,1,0
99,1,54.14812358090731,54.64812358090731,54.64812358090731,55.196592117711553,,55.196592117711553,55.196592117711553,55.104673510499808,0.5,0.5,0.54846853680424346,,0,0,0,0,-0.091918607211745496,-9.0021839582732355e-07,0,0,0,0,0,1,0
100,1,55.104673510499808,55.604673510499808,55.604673510499808,56.126022679442997,,56.126022679442997,56.126022679442997,56.03255640466358,0.5,0.5,0.52134916894318906,,0,0,0,0,-0.093466274779416381,-8.0690509918213138e-07,0,0,0,0,0,1,0
101,1,56.03255640466358,56.53255640466358,56.53255640466358,57.044629266811064,,57.044629266811064,57.044629266811064,56.949632821787986,0.5,0.5,0.51207286214748393,,0,0,0,0,-0.094996445023078024,-1.2412012893037172e-06,0,0,0,0,0,1,0
102,1,56.949632821787986,57.449632821787986,57.449632821787986,57.998833254951997,,57.998833254951997,57.998833254951997,57.902248190178277,0.5,0.5,0.54920043316401035,,0,0,0,0,-0.096585064773719864,-8.4541249378844441e-07,0,0,0,0,0,1,0
103,1,57.902248190178277,58.402248190178277,58.402248190178277,58.998257109085252,,58.998257109085252,58.998257109085252,58.900007234921873,0.5,0.5,0.59600891890697483,,0,0,0,0,-0.098249874163379047,-1.3355849830531952e-06,0,0,0,0,0,1,0
104,1,58.900007234921873,59.400007234921873,59.400007234921873,59.951023819645947,,59.951023819645947,59.951023819645947,59.851187513027867,0.5,0.5,0.55101658472407422,,0,0,0,0,-0.099836306618080073,-1.145968042237655e-06,0,0,0,0,0,1,0
105,1,59.851187513027867,60.351187513027867,60.351187513027867,60.901498573034175,,60.901498573034175,60.901498573034175,60.800079832129619,0.5,0.5,0.55031106000630814,,0,0,0,0,-0.10141874090455616,-7.749302355364307e-07,0,0,0,0,0,1,0
106,1,60.800079832129619,61.300079832129619,61.300079832129619,61.89382667639881,,61.89382667639881,61.89382667639881,61.790755445757114,0.5,0.5,0.59374684426919089,,0,0,0,0,-0.10307123064169588,-7.6185242647852647e-07,0,0,0,0,0,1,0
107,1,61.790755445757114,62.290755445757114,62.290755445757114,62.93249958221913,,62.93249958221913,62.93249958221913,62.827699821829405,0.5,0.5,0.641744136462016,,0,0,0,0,-0.10479976038972438,3.8822493308998673e-07,0,0,0,0,0,1,0
