step,density_sum,density_min,density_max,density_hash_fnv1a64,kinetic_energy,rms_divergence_after
54,38.957813500362072,0,11.9443359375,13535160243299858983,6.5629278651613276e-06,0.00022148662538453242
55,39.226072259688834,0,11.924445152282715,1287696882781344435,6.9062148213561159e-06,0.00022682747072841851
56,39.646159831132898,0,11.904587745666504,4114450836197190178,7.2520624598837458e-06,0.00023180159758427889
57,40.469000311019563,0,11.884762763977051,13358975893825636739,7.5983439273841213e-06,0.00023800074949602816
58,41.397002247908517,0,11.864971160888672,12306805313568155607,7.954506145324558e-06,0.00024642137445608873
59,42.480945217196755,0,11.840484619140625,4717228762533064713,8.3162549344706349e-06,0.0002501202656419203
60,43.47556401512292,0,11.668886184692383,16994990165311459259,8.6902427938184701e-06,0.00025731086978380039
61,44.500685712088938,0,11.350224494934082,6299700844171060283,9.0857047325698659e-06,0.00026601501545353145
62,45.271223312775213,0,11.33132266998291,4217322004438706049,9.488150681136176e-06,0.00027101277003589556
63,45.534193223276141,0,11.31245231628418,2552660279944966887,9.9078606581315398e-06,0.00027789612058504095
64,45.988729590113103,0,11.293613433837891,1675438975594350727,1.0327310519642197e-05,0.00028570763865652269
65,46.578702882598172,0,11.274806022644043,17549320252465224328,1.0739505341916811e-05,0.00028805500957685044
66,47.3840734467299,0,11.256030082702637,13664749646803532235,1.1159816494910046e-05,0.00029621328066402959
67,48.345944900191427,0,11.237285614013672,1335204248796622037,1.1588688721531071e-05,0.00030487025928504509
68,49.367519646100554,0,11.110813140869141,16341302659758948074,1.2025713658658788e-05,0.00030912947876403346
69,50.280837019241602,0,10.806575775146484,13084916792929632445,1.2483477803471033e-05,0.00031753600137730229
70,51.255142030883981,0,10.350191116333008,14389649906524972297,1.296568734687753e-05,0.00032735038046330297
71,51.469834289044307,0,10.332955360412598,4706099955930053700,1.3455661246553063e-05,0.00033338907388236129
72,51.841028170740621,0,10.31574821472168,2988596284857572999,1.3963902347313706e-05,0.00034235699034242773
73,52.375977531215071,0,10.298569679260254,7190607587532056217,1.4467436812992673e-05,0.00034674365703159157
74,53.124117921445922,0,10.28141975402832,10871154436967061614,1.4981506865296979e-05,0.00035641448490001298
75,53.990369384997081,0,10.264298439025879,4229167295773821871,1.5495154002564959e-05,0.00035613764778837955
76,54.997281014196645,0,10.141658782958984,11480693067590424715,1.6022180716390721e-05,0.00036135216471938381
77,56.17852400654251,0,9.8301792144775391,1875787124988085695,1.6572164895478636e-05,0.00037015242653296618
78,57.362563468810897,0,9.3581352233886719,16706893426157394138,1.7142127035185695e-05,0.00037556749982181002
79,58.030437824600547,0,9.3425512313842773,10961912951068228783,1.774686279532034e-05,0.00038961265314105817
80,58.617231293383369,0,9.3269929885864258,16762526331261362957,1.8359391106059775e-05,0.00039158551441950402
81,59.475114496050551,0,9.3114604949951172,11552959368846835283,1.8987346265930682e-05,0.00040082836219080729
82,60.464449351148879,0,9.2959537506103516,8770218445032878495,1.9630915630841628e-05,0.00041116177421168354
83,61.71765161589542,0,9.2804737091064453,1407436055516340685,2.0273866539355367e-05,0.00041672587288148086
84,62.947756098222641,0,9.113865852355957,1200627520319279101,2.094616684189532e-05,0.00042927940493639563
85,64.228628939306802,0,8.770411491394043,16780965370702169147,2.162752571166493e-05,0.00043118097256673974
86,65.499229859190564,0,8.275446891784668,2481737139552983605,2.2352069208864123e-05,0.00044187601802176389
87,66.160284396299616,0,8.2616662979125977,4280066392360856135,2.3091835828381591e-05,0.00044695119075243193
88,66.944201628938174,0,8.2479085922241211,13444712383654995033,2.3867978597991168e-05,0.00045875430329996573
89,67.815010042761614,0,8.2341737747192383,1325080156024707137,2.4664999727974646e-05,0.00047234598724608132
90,68.888899976503097,0,8.2204618453979492,7905067360212640330,2.5470337277511135e-05,0.00047866091055341983
91,70.15651096624525,0,8.2067728042602539,12749533619534953102,2.6297331714886241e-05,0.00048782340671853664
92,71.488885436365905,0,8.0321245193481445,103688406282452284,2.7142461476614699e-05,0.00049515429231188361
93,72.829623479015353,0,7.9301657676696777,8705616626156701921,2.8038226446369663e-05,0.00050726011073228038
94,74.17404763447405,0,7.9234619140625,14650166631065517792,2.8970540370210074e-05,0.00051755044957047555
95,74.980403223805453,0,7.9179959297180176,4421865500360585118,2.9915780032752082e-05,0.00052231971589817498
96,75.978286703831074,0,7.9137306213378906,472827352907363639,3.0895251256879419e-05,0.00052903567718365113
97,77.181042638752942,0,7.9105954170227051,18052560525453455542,3.1909090466797352e-05,0.00053971852800498783
98,78.526389448176388,0,7.9085111618041992,4924023525768142644,3.2955082133412361e-05,0.00055388376805072992
99,79.963531035017709,0,7.9073929786682129,15664027526307527129,3.4014086850220338e-05,0.00056432750985998474
100,81.347684298994352,0,7.9071526527404785,8394958011506132971,3.5127864975947887e-05,0.00057907627502914159
101,82.828440911109851,0,7.9077000617980957,1906704840969401234,3.624940654844977e-05,0.00058758465603437292
102,84.296720775330385,0,7.9089236259460449,11289911826902365546,3.7440015148604289e-05,0.0006033322645080352
103,85.254653792655049,0,7.9108428955078125,6861855074588955320,3.8671176298521459e-05,0.00061622700667407699
104,86.344562709854472,0,7.9132194519042969,4582589016272513357,3.9925234887050465e-05,0.00062558654559594854
105,87.518096861866809,0,7.9159460067749023,15120898599647332045,4.1190494812326506e-05,0.00063474089700848849
106,88.865101189003141,0,7.9189224243164062,8563214947743410116,4.2488434701226652e-05,0.00064662221887552124
107,90.37998609206636,0,7.9220561981201172,9438030637307240482,4.3804488086607307e-05,0.00065577778892563204
108,92.003690747509566,0,7.9252629280090332,7390455509431501850,4.5161468733567744e-05,0.00067107270494307829
109,93.696371419848035,0,7.9284701347351074,14306226688785518223,4.655261363950558e-05,0.00068465843955279259
110,95.436131789067844,0,7.9316167831420898,8780627591392235494,4.7968267608666793e-05,0.00069821213665586515
111,96.600738785712238,0,7.9346537590026855,13903634848142485212,4.9453698011348024e-05,0.00071729595552661406
112,97.780453700508488,0,7.9375429153442383,7579563187106500319,5.0937429477926344e-05,0.00072778601989639683
113,99.019589263334709,0,7.9404945373535156,5854206294547682847,5.2440798754105344e-05,0.00073398544884873925
114,100.4268233600702,0,7.9432387351989746,8750693226537051537,5.399901419878006e-05,0.0007503713362358406
115,101.97785955835201,0,7.9457626342773438,14657578739469558088,5.5568525567650795e-05,0.00076020118190029144
116,103.79981520498602,0,7.9480605125427246,16104941257512637585,5.7180346630048007e-05,0.00077528538419209308
117,105.68722632400264,0,7.9501333236694336,15681751792398633446,5.8875622926279902e-05,0.00079742290036697661
118,107.33497421096251,0,7.9519863128662109,144153957293019942,6.058104190742597e-05,0.0008139295326087965
119,108.67590620187232,0,7.9536290168762207,10720101262228453483,6.2338775023818016e-05,0.00083170253028921459
120,110.07493582991486,0,7.9550724029541016,12762161539421945262,6.4082865719683468e-05,0.0008438481309567846
121,111.59609418159405,0,7.9563193321228027,15821797655497121154,6.5838343289215118e-05,0.00085231921012501183
122,113.21893798457884,0,7.9573850631713867,9826418463371724167,6.7658067564480007e-05,0.00087011124208988386
123,114.90613781584071,0,7.958284854888916,3451582161908596437,6.9480396632570773e-05,0.00088548685956138789
124,116.7815196471246,0,7.9590339660644531,2369812872885985064,7.1378279244527221e-05,0.00090146503003499668
125,118.25078125675438,0,7.9596462249755859,9368685905815626580,7.3296563641633838e-05,0.00091311508265031643
126,119.64765378098934,0,7.9601359367370605,4670756393761868415,7.5275529525242746e-05,0.00093358505284064561
127,121.12423067301931,0,7.9605164527893066,14093047372769589963,7.7236480137798935e-05,0.0009496477476772314
128,122.74791032854584,0,7.9607758522033691,17800162331056443443,7.9222343629226089e-05,0.00096200268789555193
129,124.45436683055102,0,7.960939884185791,11786315588018842389,8.1266567576676607e-05,0.0009775614146486809
130,126.25628762986784,0,7.9610209465026855,10471200999657575477,8.3300008554942906e-05,0.00098729666174396684
131,127.74558860537798,0,7.9610319137573242,9466840304151299165,8.5380932432599366e-05,0.00099987340043009281
132,129.08944844487738,0,7.9610075950622559,10983669474855589225,8.7510343291796744e-05,0.0010135981113241978
133,130.61538290059366,0,7.9609465599060059,9961999073088593867,8.9668719738256186e-05,0.001028545598020931
134,132.28814547734572,0,7.9608588218688965,18040558771029159398,9.1878333478234708e-05,0.0010546285161397962
135,134.0171412610832,0,7.9607534408569336,16905713756871875295,9.4116068794392049e-05,0.0010716406191663805
136,135.91837511493998,0,7.9606380462646484,9679891725342641115,9.6380739705637097e-05,0.0010851252783832886
137,137.48298653283746,0,7.9605193138122559,6213507547336657198,9.8725868156179786e-05,0.0011059695917391514
138,138.79584629451324,0,7.9604034423828125,2183235764495006645,0.00010105241381097585,0.0011158892195614241
139,140.29506416634172,0,7.9602947235107422,6904148586469258812,0.00010347126226406544,0.0011390034337733104
140,142.04631584264436,0,7.9601974487304688,10790305570700281334,0.00010587325959932059,0.001152267595130868
141,143.96103380435045,0,7.9601140022277832,6369749426541399641,0.00010832135012606159,0.0011724649064636125
142,145.91821445378173,0,7.9600458145141602,17316718965080637078,0.00011084977450082079,0.0011858220149488213
143,147.45492838520983,0,7.959993839263916,9856536278607850226,0.00011337816249579191,0.0011999986285579675
144,148.85904374737788,0,7.9599652290344238,17899890404756948331,0.00011596194235607982,0.0012207479207939098
145,150.42261391319215,0,7.9599590301513672,3597020066961625451,0.00011861126404255629,0.0012440875188240966
146,152.19097048988536,0,7.9599723815917969,17516752436084063409,0.00012125579814892262,0.0012589448293530141
147,154.15490793611829,0,7.9600033760070801,1862168302892162038,0.00012393070210237056,0.0012759623316568288
148,156.18501853125019,0,7.9600486755371094,824697569596451552,0.00012667130795307457,0.0012920968579676947
149,157.65402502883555,0,7.9601049423217773,7078681097694859741,0.00012947313371114433,0.0013101870390117088
150,159.19464005328788,0,7.960169792175293,5379159661854569211,0.00013229141768533736,0.0013267114555302459
151,160.83957861603125,0,7.9602389335632324,11485414812307565641,0.00013517009210772812,0.0013503518135325704
152,162.76776966608276,0,7.9603099822998047,13360166991664800366,0.00013803693582303822,0.0013662059044957206
153,164.83299722807845,0,7.9603805541992188,9501458672815761897,0.00014095890219323337,0.0013874377491282994
154,166.70115941299511,0,7.9604487419128418,4465759439888123115,0.00014399016799870878,0.0014157018180184415
155,168.29295903799766,0,7.9605116844177246,9010377425383640285,0.00014707665832247585,0.0014368520724408374
156,169.88405947752091,0,7.9605684280395508,10543181141710085884,0.00015018199337646365,0.001459946586215808
157,171.63193328760298,0,7.9604196548461914,1628149269412465231,0.0001533136673970148,0.0014778856753279248
158,173.70346348750095,0,7.9604697227478027,8975701532911700602,0.00015645046369172633,0.00149681561291042
159,175.89036198164183,0,7.9605145454406738,9287094360880076123,0.00015967457147780806,0.0015229234534783935
160,177.53608749960867,0,7.9605526924133301,9965182008828109440,0.00016291096108034253,0.0015425379159067019
161,179.2236127256962,0,7.9605846405029297,7326663864436418479,0.00016621948452666402,0.0015692108841704122
162,180.99837717021356,0,7.9606103897094727,3580776779022728700,0.00016952490841504186,0.0015927775828405071
163,182.93897176066665,0,7.960629940032959,9148717890969472940,0.00017287420632783324,0.0016156097910796784
164,185.17173989425606,0,7.9606437683105469,3169445132284359051,0.00017634403775446117,0.0016494300461853116
165,187.08184098727617,0,7.9606518745422363,909376973123378794,0.00017987078172154725,0.001682388670960806
166,188.80761778343751,0,7.9606547355651855,10048698493324868468,0.00018339967937208712,0.0017103954114142863
167,190.62250604907848,0,7.9606528282165527,5041125172402505191,0.00018691383593250066,0.0017382314919666129
168,192.53504801567061,0,7.9606466293334961,4447120044346269272,0.0001905630633700639,0.0017769272561151404
169,194.73353079260843,0,7.960637092590332,15509226492466100582,0.00019418116426095366,0.0018126126494144529
170,196.73750485079631,0,7.9606237411499023,2005350820494659620,0.00019786186749115586,0.0018494742506144487
171,198.47260103119874,0,7.9606075286865234,8402355449229635961,0.00020162071450613439,0.0018950313177630838
172,200.37805218934611,0,7.9605894088745117,17813370716317868722,0.00020542429410852492,0.0019397444896338953
173,202.3467529805979,0,7.9605693817138672,4467518317640090391,0.00020926553406752646,0.0019907710936231029
174,204.61976525829951,0,7.9605474472045898,17941873602201983510,0.00021309993462637067,0.0020434071824301336
175,206.67825062727314,0,7.9605250358581543,2790262541291984531,0.0002170485386159271,0.0020997669228782867
176,208.4837434187956,0,7.9605026245117188,6995529679232685931,0.00022105147945694625,0.0021591965792716388
177,210.4352392948505,0,7.9604802131652832,13878256549490891744,0.00022513247677125037,0.0022250099630816405
178,212.48280983682338,0,7.9604582786560059,4223571245308436389,0.00022924461518414319,0.0022891435789480024
179,214.71032466457279,0,7.9604363441467285,4949913380973057483,0.00023347078240476549,0.0023574523360544429
180,216.80584309144217,0,7.9604153633117676,1182000874483151742,0.00023774545115884393,0.0024249851731113401
181,218.65808460022328,0,7.960395336151123,10876815167909715836,0.00024211844720412046,0.0024920508981115664
182,220.73082524350366,0,7.9603767395019531,2021586690710519117,0.0002465750731062144,0.0025545223560293775
183,222.71273377293559,0,7.9603590965270996,10557819789506909632,0.00025116381584666669,0.0026224946952775516
184,224.75434014979149,0,7.9603428840637207,18366728483146999899,0.0002558999985922128,0.0026713879057384871
185,226.28492092254015,0,7.9603285789489746,15894450809960369843,0.00026061141397804022,0.0027037167250158994
186,227.50009375966386,0,7.9603152275085449,2715638466354716700,0.00026510725729167461,0.0027076846916775331
187,228.4564221900057,0,7.960303783416748,3369003687051292321,0.00026922352844849229,0.0026708002961589416
188,229.09433002040811,0,7.9602937698364258,16202567888620314227,0.00027290973230265081,0.0026095906674830898
189,229.41390657992338,0,7.9602847099304199,4282607230682804620,0.00027589843375608325,0.0025143405867065912
190,229.5750289432637,0,7.9602770805358887,7825785067927880904,0.00027819679235108197,0.0024095730496541787
191,229.47072304781659,0,7.9602713584899902,844862122948738352,0.00027971796225756407,0.0022741415411846552
192,229.07221209212506,0,7.9602665901184082,7260622392129111566,0.00028051709523424506,0.0021502552780206549
193,228.37546214734664,0,7.9602627754211426,3017781281397028096,0.00028077652677893639,0.0020317655858454308
194,227.47140832990556,0,7.9602599143981934,11639264458747850176,0.00028044823557138443,0.0019050602297998234
195,226.56111245323376,0,7.9602580070495605,12037749114598935251,0.00027990809758193791,0.0018110158507104799
196,225.46127663345132,0,7.9602565765380859,11856700840855347794,0.00027910075732506812,0.0017162753804784499
197,224.24441777580228,0,7.9602556228637695,2876806329966969277,0.00027805913123302162,0.0016322772531579151
198,222.89783677543539,0,7.9602551460266113,512549249524516328,0.00027694832533597946,0.001560090000254528
199,221.47414929047613,0,7.9602551460266113,2543148341068936542,0.00027579528978094459,0.0014981526905573754
200,220.0437863638362,0,7.9602551460266113,757320586344945894,0.00027445197338238358,0.0014390597045351979
201,218.51183764242523,0,7.9602556228637695,4126953732661050838,0.00027309186407364905,0.0013895921672304214
202,216.93616042939811,0,7.9602560997009277,7766315348715485386,0.00027174659771844745,0.0013464051715352551
203,215.30452568913302,0,7.9602570533752441,16041438613383143983,0.00027038788539357483,0.0013047620932171995
204,213.66054745282969,0,7.9602580070495605,4023118282104945312,0.0002690390101633966,0.0012688432944150364
205,212.15523596689115,0,7.960258960723877,12545857755557046050,0.00026761551271192729,0.0012349381850415562
206,210.70238416855153,0,7.9602599143981934,18344365831057145223,0.00026620647986419499,0.0012044502166185585
207,209.64221911525686,0,7.9602608680725098,2169489107189639125,0.00026484092813916504,0.0011762488790335213
208,208.60684809595236,0,7.9602618217468262,11060102092426397944,0.00026351329870522022,0.0011497189603730175
209,207.59347022995149,0,7.9602627754211426,5013193790999873450,0.00026224693283438683,0.0011244460201733557
210,206.61464312944429,0,7.960263729095459,7351738581928665955,0.00026102387346327305,0.0011001609813465301
211,205.63908487529287,0,7.9602646827697754,5919574378825519678,0.00025985340471379459,0.001076587429707096
212,204.67675027531482,0,7.9602656364440918,3933705464035918427,0.00025873922277241945,0.0010536056100033291
213,203.76679054572554,0,7.96026611328125,250058593816413561,0.00025768950581550598,0.0010311888817606224
214,202.90319674554581,0,7.9602665901184082,11962130094047469522,0.00025668507441878319,0.0010092139891106685
215,202.08871409249753,0,7.9602670669555664,8082582431123413662,0.00025573011953383684,0.00098779093292371148
216,201.59067403525691,0,7.9602675437927246,377720841703075240,0.00025481858756393194,0.00096678989588802524
217,201.16264504246817,0,7.9602675437927246,11913540859996507340,0.00025394896510988474,0.00094636554293697479
218,200.77100675757242,0,7.9602675437927246,2031253279595090140,0.00025312547222711146,0.00092636372274529735
219,200.4058127340123,0,7.9602675437927246,13986257091040442155,0.00025233079213649035,0.00090676911058445574
220,200.06840183440445,0,7.9602675437927246,13994823464551454006,0.00025157764321193099,0.00088742758048166034
221,199.75750713647432,0,7.9602675437927246,8882002556085784711,0.00025085877859964967,0.00086848548324560207
222,199.46570331190566,0,7.9602675437927246,8720656806226266511,0.00025015929713845253,0.00085002656829603917
223,199.19457992378702,0,7.9602675437927246,18119963892319188675,0.00024949945509433746,0.00083195075955702191
224,198.93828138961729,0,7.9602675437927246,10366186446657283078,0.00024885893799364567,0.00081424440731728666
225,198.69921698489475,0,7.9602675437927246,8005882213892996517,0.00024824030697345734,0.00079682228548087861
226,198.4724075046085,0,7.9602675437927246,11370535711688164780,0.00024764396948739886,0.0007797987268512831
227,198.25973593347658,0,7.9602675437927246,10107828450098535762,0.00024707202101126313,0.00076305932354998993
228,198.05731405996366,0,7.9602675437927246,5764214647949371205,0.00024651773856021464,0.00074667332080011336
229,197.86678989032754,0,7.9602675437927246,12454457612242821836,0.00024598531308583915,0.00073054907445662038
230,197.68502481638325,0,7.9602675437927246,7974128313013603264,0.00024546883651055396,0.00071473261458748609
231,197.51141266319442,0,7.9602675437927246,11884047019462961694,0.00024496499099768698,0.00069919109082700189
232,197.34676978377667,0,7.9602675437927246,3607635920638603904,0.00024448364274576306,0.00068392955316558485
233,197.18450848609174,0,7.9602675437927246,5662697502454820506,0.00024402023700531572,0.00066899936791512131
234,197.03265575185068,0,7.9602675437927246,428411403672505665,0.00024356493668165058,0.0006542894355668807
235,196.8874593115452,0,7.9602675437927246,3736445378962213489,0.00024312386813107878,0.00063988990508789139
236,196.7475307752872,0,7.9602675437927246,2187722839834833553,0.00024269781715702266,0.00062568732858786144
237,196.61290542859189,0,7.9602675437927246,635250225070985449,0.00024228733673226088,0.00061177594158759202
238,196.48308475753734,0,7.9602675437927246,14395509214565768284,0.00024188966199290007,0.00059817568032807106
239,196.35769939396297,0,7.9602675437927246,10064670604548982493,0.00024149648379534483,0.00058479348740685555
240,196.24773407752355,0,7.9602675437927246,16027925850838646187,0.00024112194660119712,0.00057162319886530286
241,195.64290872906719,0,7.911923885345459,12521302030787115559,0.00024074607063084841,0.000558570438986613
242,194.99539993271171,0,7.886408805847168,2568158683060681330,0.00024037306138779968,0.00054574124726513499
243,194.30383367419998,0,7.8687601089477539,9881071068531878484,0.00023999511904548854,0.00053299773152832056
244,193.56656127420595,0,7.8347411155700684,6539979769953731574,0.00023961647821124643,0.00052036355566121911
245,192.79745378703223,0,7.8216938972473145,500359644372150957,0.00023922935361042619,0.00050784869903916388
246,191.98625081245115,0,7.8056793212890625,11761993243162168764,0.00023883087851572782,0.00049548945054809015
247,191.13239537462945,0,7.7790732383728027,1428987721695470865,0.0002384257095400244,0.00048324505359405225
248,190.23719794739253,0,7.7661190032958984,7098731560628167396,0.00023801167844794691,0.00047118168019838296
249,189.30322519026876,0,7.7510590553283691,8087453829285412713,0.00023758268798701465,0.00045925745089986852
250,188.33306340299117,0,7.7295756340026855,12587563147972560949,0.00023713469272479415,0.000447456320111944
251,187.32085314729977,0,7.7167034149169922,12717249448274429909,0.00023666869674343616,0.00043572855999691079
252,186.27984177739202,0,7.7016806602478027,15516059595568194093,0.00023618961859028786,0.00042415723953628153
253,185.19920477444347,0,7.6842703819274902,1645919241101698548,0.00023568123287986964,0.0004126897164742199
254,184.0828975749678,0,7.6714739799499512,5511184197941291824,0.00023515414795838296,0.00040131992789088817
255,182.93431012080936,0,7.6555948257446289,2599177275478910571,0.00023459753720089793,0.0003900854381528832
256,181.74947550149804,0,7.641484260559082,14105756631423704980,0.00023400844656862319,0.0003789639315389675
257,180.53030915281045,0,7.6287589073181152,11257108574255913503,0.00023338723985943943,0.00036794892983646178
258,179.2867208064595,0,7.6115641593933105,8353142444946133698,0.00023274069826584309,0.00035706660812903244
259,178.0067568187653,0,7.5988888740539551,16125686323410799634,0.00023205581237562001,0.0003463147837653178
260,176.69508063428583,0,7.5851888656616211,16876160972480536591,0.00023133393551688641,0.00033566558788038811
261,175.35226523375962,0,7.5705184936523438,4197342483391002548,0.00023057946236804128,0.00032521135373157441
262,173.98178044053901,0,7.5579113960266113,414278331914165032,0.00022977935441303998,0.00031492207560549829
263,172.58018763686547,0,7.5420966148376465,16229170159976769665,0.00022893903951626271,0.0003046783755976081
264,171.14987946379287,0,7.5295367240905762,13719088550986624654,0.00022805703338235617,0.00029463602666889477
265,169.69254381060767,0,7.5158815383911133,10469308907105801543,0.00022712360078003258,0.00028479091788794332
266,168.21227440878928,0,7.5029497146606445,16366960108604277473,0.00022614283079747111,0.00027511205486300172
267,166.70086559793685,0,7.490455150604248,11389771477966773738,0.00022510701091960073,0.00026568024086485493
268,165.1617732678485,0,7.4758763313293457,10085981543441356873,0.00022402168542612344,0.00025639752538624748
269,163.59772149762543,0,7.4634265899658203,12500551669432101312,0.000222886519622989,0.00024734458247747173
270,162.0068563737571,0,7.448610782623291,6758311906044169349,0.00022169722069520503,0.00023845261092488121
271,160.3892610307505,0,7.4362068176269531,5552923156164545829,0.00022044946672394872,0.00022983399540057689
272,158.74938572682484,0,7.4224691390991211,17884772477489510456,0.00021914203534834087,0.00022139641236071649
273,157.07911054030532,0,7.4101085662841797,3383308101886876012,0.00021777935035061091,0.00021324081276281483
274,155.38818184888558,0,7.3969230651855469,10772452271197157498,0.0002163443568861112,0.0002055426140106753
275,153.6741497814628,0,7.3846049308776855,5085816995375708022,0.00021484679018612951,0.00019819951545264813
276,151.93594264993854,0,7.3717708587646484,16582720785959628857,0.00021328232833184302,0.00019111171388945069
277,150.17090756023117,0,7.3593845367431641,3922983609074482597,0.00021165292127989233,0.00018439308359908106
278,148.38469473474663,0,7.3467898368835449,8621112114187722554,0.00020995146769564599,0.00017809560656930183
