step,emitter,before_source,after_source,before_advection,forward,reverse,corrected,limited,final,expected_injection,measured_injection,forward_delta,correction_delta,lower_changed_cells,lower_delta,upper_changed_cells,upper_delta,damping_and_positivity_delta,damping_residual,limiter_residual,pattern_errors,injection_errors,untouched_errors,nonfinite,audit_failed
11,1,5.0051026791334152,5.5051026791334152,5.5051026791334152,5.4841920723556541,5.4636622443795204,7.3000453588902019,5.5219470039010048,5.5127513036131859,0.5,0.5,-0.020910606777761132,1.8158532865345478,6,0.010466327017638832,1,-1.7885646820068359,-0.0091957002878189087,-1.1977707092825085e-07,0,4,0,0,0,1
12,1,5.5127513036131859,6.0127513036131859,6.0127513036131859,5.9668295869778376,5.9223514074983541,7.9432786816905718,6.019142746925354,6.0091192871332169,0.5,0.5,-0.045921716635348275,1.9764490947127342,6,0.011884439532877877,1,-1.9360203742980957,-0.010023459792137146,9.0179627321163025e-08,0,9,0,0,0,1
13,1,6.0091192871332169,6.5091192871332169,6.5091192871332169,6.4591301915352233,6.3868331593985204,8.5902361897751689,6.5229010879993439,6.5120385363698006,0.5,0.5,-0.049989095597993582,2.1311059982399456,6,0.01340582687407732,1,-2.0807409286499023,-0.010862551629543304,-1.0364227165382545e-07,0,9,0,0,0,1
14,1,6.5120385363698006,7.0120385363698006,7.0120385363698006,6.9579389806895051,6.8807342836807948,9.2380089858488645,7.0343990921974182,7.022684633731842,0.5,0.5,-0.054099555680295452,2.2800700051593594,6,0.018959095148602501,1,-2.2225689888000488,-0.011714458465576172,-2.2376695785197853e-07,0,9,0,0,0,1
15,1,7.022684633731842,7.522684633731842,7.522684633731842,7.4358114276546985,7.3546076455968432,9.8644253648235463,7.527975007891655,7.5154385566711426,0.5,0.5,-0.08687320607714355,2.4286139371688478,6,0.025025110749993473,1,-2.3614754676818848,-0.01253645122051239,-2.7508208422233338e-07,0,9,0,0,0,1
16,1,7.5154385566711426,8.0154385566711426,8.0154385566711426,7.9228505045175552,7.8072282869834453,10.496156808564592,8.0262072384357452,8.0128411203622818,0.5,0.5,-0.092588052153587341,2.573306304047037,10,0.027580890228819044,1,-2.497530460357666,-0.01336611807346344,-2.4643347096287016e-07,0,9,0,0,0,1
17,1,8.0128411203622818,8.5128411203622818,8.5128411203622818,8.4140590181341395,8.2922461056732573,11.127033844064499,8.5313777923583984,8.5171710103750229,0.5,0.5,-0.098782102228142321,2.7129748259303597,10,0.03490386955854774,1,-2.6305599212646484,-0.014206781983375549,3.3940004584565031e-07,0,9,0,0,0,1
18,1,8.5171710103750229,9.0171710103750229,9.0171710103750229,8.9120610902318731,8.7510888664983213,11.768009282847061,9.0449551045894623,9.0298927873373032,0.5,0.5,-0.10510992014314979,2.8559481926151875,15,0.037359945277557927,1,-2.7604141235351562,-0.015062317252159119,5.3469905836323051e-08,0,13,0,0,0,1
19,1,9.0298927873373032,9.5298927873373032,9.5298927873373032,9.4188822619616985,9.2504839478060603,12.408245400986743,9.5672417283058167,9.5513099133968353,0.5,0.5,-0.11101052537560463,2.9893631390250448,15,0.045916302599835035,1,-2.8869199752807617,-0.015931814908981323,3.0858229216335076e-07,0,13,0,0,0,1
20,1,9.5513099133968353,10.051309913396835,10.051309913396835,9.8950704911258072,9.6498190124984831,13.029518347998419,10.097384870052338,10.080570101737976,0.5,0.5,-0.15623942227102816,3.1344478568726117,15,0.048952299336633587,1,-2.9810857772827148,-0.016814768314361572,1.9123794459119381e-07,0,18,0,0,0,1
21,1,10.080570101737976,10.580570101737976,10.580570101737976,10.459551254287362,10.35700993030332,13.680811960620304,10.668565690517426,10.650799244642258,0.5,0.5,-0.12101884745061398,3.2212607063329415,15,0.086143355446438363,1,-3.0983896255493164,-0.017766445875167847,-3.1109117770711237e-07,0,18,0,0,0,1
22,1,10.650799244642258,11.150799244642258,11.150799244642258,11.024121761787683,10.915738710667938,14.354289386069468,11.246065557003021,11.227337449789047,0.5,0.5,-0.12667748285457492,3.3301676242817848,15,0.1027499105575771,1,-3.2109737396240234,-0.018728107213973999,-2.7422580650693362e-07,0,18,0,0,0,1
23,1,11.227337449789047,11.727337449789047,11.727337449789047,11.591609231196344,11.403510821051896,15.031826814565648,11.860405385494232,11.840653896331787,0.5,0.5,-0.13572821859270334,3.4402175833693036,15,0.11315498694420967,1,-3.284576416015625,-0.019751489162445068,-6.0916751287720672e-07,0,18,0,0,0,1
24,1,11.840653896331787,12.340653896331787,12.340653896331787,12.198254127055407,12.000550819560885,15.723700163554895,12.469833612442017,12.44906747341156,0.5,0.5,-0.14239976927638054,3.5254460364994884,15,0.13119852762247319,1,-3.3850650787353516,-0.020766139030456543,-3.9121400163821818e-07,0,18,0,0,0,1
25,1,12.44906747341156,12.94906747341156,12.94906747341156,12.845185035839677,12.598671743646264,16.439916819901555,13.109582185745239,13.087750554084778,0.5,0.5,-0.1038824375718832,3.594731784061878,15,0.15291598382464144,1,-3.483250617980957,-0.021831631660461426,-5.2419671447978544e-07,0,18,0,0,0,1
26,1,13.087750554084778,13.587750554084778,13.587750554084778,13.524655915796757,13.18347723968327,17.185422885231674,13.8239905834198,13.80096971988678,0.5,0.5,-0.063094638288021088,3.660766969434917,15,0.17024589795619249,1,-3.5316781997680664,-0.02302086353302002,-6.7009647608529121e-08,0,18,0,0,0,1
27,1,13.80096971988678,14.30096971988678,14.30096971988678,14.228087183088064,14.059620197862387,17.914279507604078,14.571474075317383,14.547208428382874,0.5,0.5,-0.072882536798715591,3.6861923245160142,15,0.22365517714933958,1,-3.5664606094360352,-0.024265646934509277,-8.2102904030989521e-08,0,18,0,0,0,1
28,1,14.547208428382874,15.047208428382874,15.047208428382874,15.068868685513735,14.850726518779993,18.77507550388691,15.392775297164917,15.367141723632812,0.5,0.5,0.021660257130861282,3.7062068183731753,15,0.25494020312908106,1,-3.6372404098510742,-0.025633573532104492,-3.1330180227939763e-07,0,18,0,0,0,1
29,1,15.367141723632812,15.867141723632812,15.867141723632812,15.882633656263351,15.552541587501764,19.612105597901973,16.245906114578247,16.218852043151855,0.5,0.5,0.01549193263053894,3.7294719416386215,19,0.2832412820571335,1,-3.6494407653808594,-0.027054071426391602,-1.1065112204278194e-07,0,18,0,0,0,1
30,1,16.218852043151855,16.718852043151855,16.718852043151855,16.776501268148422,16.377575151622295,20.726319504989078,17.359278678894043,17.330370426177979,0.5,0.5,0.057649224996566772,3.949818236840656,23,0.30532054780633189,1,-3.6723613739013672,-0.028908252716064453,-2.1636810387803962e-07,0,22,0,0,0,1
31,1,17.330370426177979,17.830370426177979,17.830370426177979,17.992465063929558,17.726332873106003,22.289389349432895,18.873246669769287,18.841816663742065,0.5,0.5,0.16209463775157928,4.2969242855033372,23,0.3289211020746734,1,-3.7450637817382812,-0.03143000602722168,-7.910911747899263e-07,0,22,0,0,0,1
32,1,18.841816663742065,19.341816663742065,19.341816663742065,19.470694687217474,19.074903160333633,24.378746908478206,20.941563487052917,20.906689235940576,0.5,0.5,0.12887802347540855,4.908052221260732,22,0.32426543874316849,1,-3.761448860168457,-0.034874251112341881,-7.1231704268370777e-07,0,26,0,0,0,1
33,1,20.906689235940576,21.406690189614892,21.406690189614892,21.596493848279351,21.163208157930057,27.319790904963156,23.821283906698227,23.781614035367966,0.5,0.50000095367431641,0.18980365866445936,5.7232970566838048,22,0.32813980654464103,1,-3.8266468048095703,-0.03966987133026123,-7.9557153398468472e-07,0,26,1,0,0,1
34,1,23.781614035367966,24.281614035367966,24.281614035367966,24.470528942532837,23.88581579644233,31.369936045498207,27.80140982568264,27.755111787468195,0.5,0.5,0.18891490716487169,6.8994071029653696,35,0.31910805752818305,1,-3.88763427734375,-0.046298038214445114,-9.4369619674239402e-07,0,26,0,0,0,1
35,1,27.755111787468195,28.255111787468195,28.255111787468195,28.448890125975595,27.767488966297833,36.920313017810258,33.30712716281414,33.251661460846663,0.5,0.5,0.19377833850739989,8.4714228918346635,35,0.3330879487148195,1,-3.9462738037109375,-0.055465701967477798,-5.3856226145398978e-08,0,26,0,0,0,1
36,1,33.251661460846663,33.751661460846663,33.751661460846663,33.67397118282679,32.912531267723125,44.230793162547343,37.487692940980196,37.425265840895008,0.5,0.5,-0.077690278019872494,10.556821979720553,38,0.41194242674828274,2,-7.1550426483154297,-0.062427100085187703,3.5500581674341447e-07,0,43,0,0,0,1
37,1,37.425265840895008,37.925265840895008,37.925265840895008,37.977641457004211,37.284479298559745,49.590777498589887,40.213856980204582,40.146890470408835,0.5,0.5,0.052375616109202383,11.613136041585676,34,0.52834719706879696,2,-9.9052677154541016,-0.066966509795747697,7.6809516968978642e-07,0,43,0,0,0,1
38,1,40.146890470408835,40.646890470408835,40.646890470408835,40.924334813014866,40.335894456694405,52.927380308288022,43.433189183473587,43.360859163105488,0.5,0.5,0.27744434260603157,12.003045495273156,47,0.53180412970217183,2,-10.025995254516602,-0.072330020368099213,-1.657257584497529e-06,-5.3290705182007514e-15,43,0,0,0,1
39,1,43.360859163105488,43.860859163105488,43.860859163105488,44.332721417624271,43.597263809282595,57.519501470461002,47.825247474014759,47.745602518320084,0.5,0.5,0.47186225451878272,13.186780052836731,63,0.62011711256254642,2,-10.314371109008789,-0.079644955694675446,-2.59163666527229e-06,0,43,0,0,0,1
40,1,47.745602518320084,48.245602518320084,48.245602518320084,48.860384768224321,48.387460462341551,63.627282831478496,53.853873491287231,53.764189399778843,0.5,0.5,0.61478224990423769,14.766898063254175,63,0.76287224550209487,2,-10.536281585693359,-0.089684091508388519,-2.3851908679262124e-06,0,72,0,0,0,1
41,1,53.764189399778843,54.264189399778843,54.264189399778843,54.973181403009221,54.452293942129472,71.916773231034426,61.501459628343582,61.399042531847954,0.5,0.5,0.70899200323037803,16.943591828025205,63,0.84590732931599177,3,-11.261220932006836,-0.10241709649562836,-2.8178718025628768e-08,0,72,0,0,0,1
42,1,61.399042531847954,61.899042531847954,61.899042531847954,62.574646486609709,61.983183719625231,82.115233891886874,65.204277165234089,65.095692097442225,0.5,0.5,0.67560395476175472,19.540587405277165,58,0.84861434878666842,3,-17.759571075439453,-0.10858506779186428,-1.7764465383152128e-06,0,72,0,0,0,1
43,1,65.095692097442225,65.595692097442225,65.595692097442225,66.396243700883133,65.992201788869352,85.913319924636141,68.885316789150238,68.770601695403457,0.5,0.5,0.80055160344090837,19.517076223753008,58,0.91317041798092191,3,-17.941173553466797,-0.11471509374678135,-1.845666801614243e-06,-2.8421709430404007e-14,72,0,0,0,1
44,1,68.770601695403457,69.270601695403457,69.270601695403457,70.229875596560305,69.873598259764549,90.776651427459683,73.383973613381386,73.261767648160458,0.5,0.5,0.9592739011568483,20.546775830899378,83,0.97973963587289958,3,-18.372417449951172,-0.12220596522092819,-1.1999300255638445e-06,-2.4868995751603507e-14,72,0,0,0,1
45,1,73.261767648160458,73.761767648160458,73.761767648160458,75.105292013642611,74.659425694437232,97.437239448282071,80.280819028615952,80.147127881646156,0.5,0.5,1.3435243654821534,22.33194743463946,91,1.6076653499871938,3,-18.76408576965332,-0.13369114696979523,-1.2121832355660445e-06,7.1054273576010019e-15,72,0,0,0,1
46,1,80.147127881646156,80.647127881646156,80.647127881646156,82.013280929881148,81.922428119985852,107.19338075038473,89.814335316419601,89.664766799323843,0.5,0.5,1.3661530482349917,25.180099820503585,90,1.8464890051217928,3,-19.225534439086914,-0.14956851709575858,-2.6210743016008564e-06,-1.0658141036401503e-14,101,0,0,0,1
47,1,89.664766799323843,90.164766799323843,90.164766799323843,91.512027611427357,91.840327851433926,120.28780163607556,95.024803552776575,94.866558491718024,0.5,0.5,1.3472608121035137,28.7757740246482,86,1.5134854524676353,4,-26.776483535766602,-0.15824506105855107,-2.2834711757013793e-06,-1.4210854715202004e-14,101,0,0,0,1
48,1,94.866558491718024,95.366558491718024,95.366558491718024,97.112879502521537,97.149159894259355,126.08695457595392,100.1022282987833,99.935529205948114,0.5,0.5,1.7463210108035128,28.974075073432388,99,1.5381676284690766,4,-27.522893905639648,-0.16669909283518791,-9.8816732929662976e-07,-4.9737991503207013e-14,101,0,0,0,1
49,1,99.935529205948114,100.43552920594811,100.43552920594811,102.60678972926689,102.84120822785189,132.61296863177796,106.23419427871704,106.05728375911713,0.5,0.5,2.1712605233187787,30.006178902511067,111,1.6393950500152172,4,-28.018169403076172,-0.17691051959991455,-9.8283793192877056e-07,3.5527136788005009e-14,101,0,0,0,1
50,1,106.05728375911713,106.55728375911713,106.55728375911713,109.05357192573138,109.15821385080926,141.10263168040763,114.12349683046341,113.93344657123089,0.5,0.5,2.4962881666142493,32.04905975467625,119,1.6777293163155569,4,-28.656864166259766,-0.19005025923252106,-2.8352838370437894e-06,-7.1054273576010019e-15,126,0,0,0,1
51,1,113.93344657123089,114.43344657123089,114.43344657123089,117.1838127093506,117.65849673841149,152.04668351419366,124.09585289657116,123.88919707061723,0.5,0.5,2.7503661381197162,34.862870804843055,118,2.9944246619185315,5,-30.945255279541016,-0.20665582595393062,-1.6502520878702853e-06,-1.7763568394002505e-14,126,0,0,0,1
52,1,123.88919707061723,124.38919707061723,124.38919707061723,127.03876876201684,127.9421584238662,165.41434736192582,130.712068349123,130.49439410865307,0.5,0.5,2.6495716913996148,38.375578599908977,110,3.3900652712547945,5,-38.092344284057617,-0.21767424046993256,-2.22236079139293e-06,0,134,0,0,0,1
53,1,130.49439410865307,130.99439410865307,130.99439410865307,134.39312763366615,135.41511429200182,173.66884192549469,137.86899827420712,137.63940472900867,0.5,0.5,3.3987335250130855,39.275714291828535,135,2.8069335398745165,5,-38.606777191162109,-0.22959354519844055,-3.2444094415495783e-06,2.1316282072803006e-14,134,0,0,0,1
54,1,137.63940472900867,138.13940472900867,138.13940472900867,142.06541761918925,143.28557246271521,183.45797916724132,146.76881355047226,146.52439963817596,0.5,0.5,3.9260128901805729,41.392561548052072,126,2.6529497854526336,5,-39.34211540222168,-0.24441391229629517,-2.9390441227405972e-06,-1.4210854715202004e-14,151,0,0,0,1
55,1,146.52439963817596,147.02439963817596,147.02439963817596,151.01562810316682,152.55104872025549,195.05244940866075,157.66113799437881,157.39858576701954,0.5,0.5,3.9912284649908543,44.03682130549393,130,2.7691709923342671,5,-40.160482406616211,-0.26255222735926509,-2.4986459266074235e-06,0,151,0,0,0,1
56,1,157.39858576701954,157.89858576701954,157.89858576701954,162.30190409769421,164.40028255323705,209.73293581564155,164.57448770850897,164.30042326264083,0.5,0.5,4.403318330674665,47.431031717947349,134,3.3522235084679659,6,-48.510671615600586,-0.2740644458681345,-2.0634024338050949e-06,3.5527136788005009e-14,147,0,0,0,1
57,1,164.30042326264083,164.80042326264083,164.80042326264083,169.76403286948334,171.69000377209159,217.83328113751139,173.16202741861343,172.87366043031216,0.5,0.5,4.9636096068425104,48.069248268028048,147,5.8459047894028577,6,-50.517158508300781,-0.28836698830127716,-3.9592090104179078e-06,-3.5527136788005009e-14,147,0,0,0,1
58,1,172.87366043031216,173.37366043031216,173.37366043031216,178.75916994619183,181.04518737201579,230.03256526747882,183.7793093919754,183.47326046228409,0.5,0.5,5.3855095158796757,51.273395321286984,147,5.11931797703566,6,-51.372573852539062,-0.3060489296913147,-5.1674948338131799e-06,-1.4210854715202004e-14,164,0,0,0,1
59,1,183.47326046228409,183.97326046228409,183.97326046228409,190.04254468996078,192.87934010196477,244.91143312483752,197.16843397915363,196.84009277098812,0.5,0.5,6.0692842276766896,54.868888434876737,142,4.6297024992135984,6,-52.372701644897461,-0.32834120816551149,-8.225094347835693e-07,-2.1316282072803006e-14,164,0,0,0,1
60,1,196.84009277098812,197.34009277098812,197.34009277098812,204.04427897527057,207.52530411482348,262.70566474043318,206.12989720702171,205.78662837296724,0.5,0.5,6.7041862042824505,58.661385765162606,150,4.6065578297477359,7,-61.18232536315918,-0.34326883405447006,-5.1149169166819775e-06,-2.1316282072803006e-14,164,0,0,0,1
61,1,205.78662837296724,206.28662837296724,206.28662837296724,213.38964634091826,217.10845353262266,272.19329444668682,214.53765532374382,214.1803852468729,0.5,0.5,7.1030179679510184,58.803648105768559,183,5.8621373663149363,7,-63.517776489257812,-0.35727007687091827,-5.0975578460565885e-06,-1.2789769243681803e-13,164,0,0,0,1
62,1,214.1803852468729,214.6803852468729,214.6803852468729,222.4718512063846,226.72290529403836,283.52299325315425,227.63997992873192,227.26089534163475,0.5,0.5,7.7914659595116973,61.051142046769655,183,8.7927679255777331,7,-64.67578125,-0.37908458709716797,-5.8621469634090317e-07,-7.1054273576010019e-14,201,0,0,0,1
63,1,227.26089534163475,227.76089534163475,227.76089534163475,235.6090258685872,240.348035546951,301.43529688716626,242.76004109531641,242.35577290551737,0.5,0.5,7.8481305269524455,65.826271018579064,166,8.0312204196979131,8,-66.706476211547852,-0.40426818979904056,-5.073708365443963e-06,8.5265128291212022e-14,201,0,0,0,1
64,1,242.35577290551737,242.85577290551737,242.85577290551737,251.48271246082004,256.96747048661928,321.65290427648318,252.14382707700133,251.72393259033561,0.5,0.5,8.6269395553026698,70.170191815663145,158,7.4465330757867232,8,-76.955610275268555,-0.41989448666572571,-4.7520238695142325e-06,-1.4210854715202004e-14,189,0,0,0,1
65,1,251.72393259033561,252.22393259033561,252.22393259033561,261.97203833873573,267.86446006882761,332.30351654055585,261.8218609765172,261.38584960589651,0.5,0.5,9.7481057484001212,70.331478201820119,203,7.4037986138178358,8,-77.885454177856445,-0.43601137062069029,-5.0126490691582148e-06,-4.2632564145606011e-14,189,0,0,0,1
66,1,261.38584960589651,261.88584960589651,261.88584960589651,272.03417879152494,278.27012758974161,344.66030163364132,278.41882917098701,277.95517956872936,0.5,0.5,10.148329185628427,72.626122842116388,218,13.01030327892272,8,-79.251775741577148,-0.46364960225764662,-4.6673205247316218e-06,1.1368683772161603e-13,226,0,0,0,1
67,1,277.95517956872936,278.45517956872936,278.45517956872936,288.84138769269794,295.8187233796998,367.66057825187113,292.47810391709208,291.99104455392808,0.5,0.5,10.386208123968572,78.819190559173194,222,11.733285705503821,9,-86.915760040283203,-0.48705936316400766,-1.8180081156060623e-06,3.4106051316484809e-13,226,0,0,0,1
68,1,291.99104455392808,292.49104455392808,292.49104455392808,304.09189459831396,311.52617098813062,385.08910214457052,303.91025622934103,303.40415415912867,0.5,0.5,11.600850044385879,80.997207546256561,251,10.963507142631762,9,-92.142353057861328,-0.5061020702123642,-6.8057659063924802e-06,8.5265128291212022e-14,254,0,0,0,1
69,1,303.40415415912867,303.90415415912867,303.90415415912867,316.22349526936887,324.21882363510667,399.0156878309013,317.05491508543491,316.52692506089807,0.5,0.5,12.319341110240202,82.792192561532431,259,11.593443639421359,9,-93.554216384887695,-0.52799002453684807,-5.2401959464987158e-06,-5.6843418860808015e-14,254,0,0,0,1
70,1,316.52692506089807,317.02692506089807,317.02692506089807,329.92688856857421,338.64070946326819,416.17756471844859,335.31760431267321,334.75920005165972,0.5,0.5,12.899963507676148,86.25067614987438,262,17.231481702379128,10,-98.091442108154297,-0.55840426101349294,-7.0100167022246751e-06,-2.1316282072803006e-13,283,0,0,0,1
71,1,334.75920005165972,335.25920005165972,335.25920005165972,348.94916793068114,358.44778468267759,440.65857216551166,348.97687210142612,348.39571933634579,0.5,0.5,13.689967879021424,91.709404234830515,274,15.847890542603892,10,-107.52959060668945,-0.58115276508033276,-9.0269149950472638e-06,2.8421709430404007e-14,283,0,0,0,1
72,1,348.39571933634579,348.89571933634579,348.89571933634579,363.17284921881219,373.24467950427788,456.76665076270336,362.84594778344035,362.24169820343741,0.5,0.5,14.277129882466397,93.593801543891175,280,14.849064781967735,10,-108.76976776123047,-0.60424958000294282,-9.9660616115215817e-06,-2.8421709430404007e-13,307,0,0,0,1
73,1,362.24169820343741,362.74169820343741,362.74169820343741,378.34733409144872,389.44682161255076,474.98925335642201,382.20997880771756,381.57348967110738,0.5,0.5,15.605635888011307,96.641919264973296,298,19.302081499879428,11,-112.08135604858398,-0.63648913661018014,-3.015020297425508e-06,1.1368683772161603e-13,307,0,0,0,1
74,1,381.57348967110738,382.07348967110738,382.07348967110738,397.90841627157351,410.61856699755299,499.81559539165681,397.95360450656153,397.29089140790165,0.5,0.5,15.834926600466133,101.9071791200833,331,21.709380193395813,11,-123.57137107849121,-0.6627130986598786,-9.4531526428909274e-06,1.1368683772161603e-13,336,0,0,0,1
75,1,397.29089140790165,397.79089140790165,397.79089140790165,414.98054617360049,428.21129359959264,519.46266308139639,414.55803677346557,413.86768029321684,0.5,0.5,17.189654765698833,104.4821169077959,319,20.111265720877928,11,-125.01589202880859,-0.69035648024873808,-1.8280156837136019e-06,-1.4210854715202004e-13,336,0,0,0,1
76,1,413.86768029321684,414.36768029321684,414.36768029321684,432.52044845616365,447.05854444205397,540.324409610364,433.696577437222,432.97434878628701,0.5,0.5,18.152768162946813,107.80396115420035,362,22.41200661775191,12,-129.03983879089355,-0.72222865093499422,-2.9953386615488853e-06,-3.4106051316484809e-13,365,0,0,0,1
77,1,432.97434878628701,433.47434878628701,433.47434878628701,451.77071604182129,467.71805466942897,563.61363658208393,451.0555135642644,450.30437698231253,0.5,0.5,18.296367255534278,111.84292054026264,370,27.855001066652871,12,-140.41312408447266,-0.75113658195186872,-3.4604520351422252e-06,2.5579538487363607e-13,365,0,0,0,1
78,1,450.30437698231253,450.80437698231253,450.80437698231253,470.68954212554922,486.09594823804991,586.07760761032853,470.08701424300671,469.30418847757392,0.5,0.5,19.885165143236691,115.3880654847793,371,26.070552415149425,12,-142.0611457824707,-0.78282576543278992,1.0802716587932082e-07,-5.4001247917767614e-13,417,0,0,0,1
79,1,469.30418847757392,469.80418847757392,469.80418847757392,491.26938691322903,508.04590047339479,610.81811894383554,489.99034762755036,489.17436776589602,0.5,0.5,21.465198435655111,119.54873203060652,398,27.739233841185602,13,-148.5670051574707,-0.81597986165434122,-9.3918336574461136e-06,-8.5265128291212022e-14,417,0,0,0,1
80,1,489.17436776589602,489.67436776589602,489.67436776589602,511.66067372073303,529.68953103886452,634.95063244146422,510.52384165255353,509.67367117914546,0.5,0.5,21.986305954837007,123.28995872073119,382,33.749871656157453,13,-158.17666244506836,-0.85017047340807039,-6.0141593394291704e-06,2.2737367544323206e-13,441,0,0,0,1
81,1,509.67367117914546,510.17367117914546,510.17367117914546,533.22975035260492,552.43147450469166,661.51004593895777,532.62687460519373,531.73989929480013,0.5,0.5,23.056079173459466,128.28029558635285,398,31.124206290747665,13,-160.00737762451172,-0.88697531039360911,-3.1420336199516896e-06,0,442,0,0,0,1
82,1,531.73989929480013,532.23989929480013,532.23989929480013,556.32895176201055,576.93929947407742,688.4931188549092,553.04760909557808,552.12662411692872,0.5,0.5,24.089052467210422,132.16416709289865,434,35.003224524116092,14,-170.44873428344727,-0.9209849786493578,-6.5969078377747792e-06,5.6843418860808015e-14,447,0,0,0,1
83,1,552.12662411692872,552.62662411692872,552.62662411692872,576.85415002389732,597.94918958499329,712.4339570969928,576.56592940725386,575.60577753465623,0.5,0.5,24.227525906968594,135.57980707309548,455,40.692053792195168,14,-176.56008148193359,-0.96015187259763479,-8.933906883612508e-06,-5.1159076974727213e-13,447,0,0,0,1
84,1,575.60577753465623,576.10577753465623,576.10577753465623,602.93473718669156,624.84387223371868,744.81023306000441,603.10916199162602,602.10480895405635,0.5,0.5,26.828959652035337,141.87549587331284,510,37.510751441386802,15,-179.21182250976562,-1.0043530375696719,-8.2200723454661784e-06,4.5474735088646412e-13,520,0,0,0,1
85,1,602.10480895405635,602.60480895405635,602.60480895405635,629.83988603172475,654.15465935415705,778.84453362250622,627.255896135699,626.21133686050598,0.5,0.5,27.235077077668393,149.00464759078147,490,42.672901972421741,15,-194.26153945922852,-1.0445592751930235,-3.4166015439041075e-06,-4.5474735088646412e-13,520,0,0,0,1
86,1,626.21133686050598,626.71133686050598,626.71133686050598,654.44597149811898,680.17524366065163,806.74313047080318,657.67694115079939,656.58171308532474,0.5,0.5,27.734634637612999,152.2971589726842,526,47.083583324039438,15,-196.14977264404297,-1.0952280654746573,-1.2689785535258125e-05,-2.5579538487363607e-13,556,0,0,0,1
87,1,656.58171308532474,657.08171308532474,657.08171308532474,685.95774918105235,712.94774609667911,847.45485630845405,684.5141903986223,683.37426512138336,0.5,0.5,28.876036095727613,161.4971071274017,550,43.695099165851985,16,-206.63576507568359,-1.1399252772389445,-1.840306708800199e-05,-1.4210854715202004e-13,556,0,0,0,1
